iter	Logloss
0	0.6886997943
1	0.6844708978
2	0.6800980038
3	0.6732385443
4	0.6685176307
5	0.662413265
6	0.6586819984
7	0.6551995544
8	0.6510086347
9	0.6470148193
10	0.64102079
11	0.6376701351
12	0.6332349347
13	0.6294561975
14	0.6249029719
15	0.6216560401
16	0.6179589777
17	0.6151352692
18	0.6115945482
19	0.6089844833
20	0.6063230687
21	0.6037536157
22	0.6005820949
23	0.5980644604
24	0.5950697589
25	0.5926698628
26	0.5899200088
27	0.586740375
28	0.5844702321
29	0.5819640547
30	0.5791643146
31	0.5765965659
32	0.5741489944
33	0.5715309078
34	0.5692543912
35	0.5670034727
36	0.5646715051
37	0.5628600295
38	0.5608406183
39	0.5589023072
40	0.5568692706
41	0.5550707019
42	0.5528927184
43	0.5506569251
44	0.5491994572
45	0.547588622
46	0.5455737719
47	0.5438944953
48	0.5420425129
49	0.5398876722
50	0.5375550454
51	0.5361060597
52	0.5344700968
53	0.5330137632
54	0.5309574958
55	0.5285762571
56	0.5268415135
57	0.5253647752
58	0.5237557673
59	0.5226974494
60	0.5214018783
61	0.5200269491
62	0.5189773614
63	0.5175732797
64	0.5155255199
65	0.5140763602
66	0.5123213794
67	0.5112499286
68	0.510198303
69	0.508682373
70	0.5077033669
71	0.506652735
72	0.5053567132
73	0.5039465813
74	0.5028307695
75	0.5019982602
76	0.5008152788
77	0.4995822149
78	0.4986484204
79	0.4973334749
80	0.4962100512
81	0.4956802359
82	0.4946037277
83	0.4933108197
84	0.4925954793
85	0.4916059059
86	0.490377986
87	0.4886450565
88	0.4877325476
89	0.4869488979
90	0.4855356993
91	0.4847720392
92	0.4840712406
93	0.4834528598
94	0.4822241566
95	0.4813045396
96	0.4804701075
97	0.4794388363
98	0.4782646959
99	0.4774455067
100	0.476636626
101	0.4760520883
102	0.4750884894
103	0.4742064785
104	0.4734611974
105	0.4725846337
106	0.4719943454
107	0.4709621207
108	0.4701224864
109	0.4690159389
110	0.4681589501
111	0.4674463582
112	0.4667400317
113	0.4663018625
114	0.4656794446
115	0.4646799706
116	0.4639797203
117	0.4633669977
118	0.4624725285
119	0.4615091847
120	0.4609740644
121	0.4600723741
122	0.4595056873
123	0.459019043
124	0.4585804666
125	0.4579923006
126	0.4573523027
127	0.4566940854
128	0.4561749668
129	0.4553806396
130	0.4549195785
131	0.454481185
132	0.4538848641
133	0.4532114728
134	0.452606437
135	0.4519698341
136	0.451262079
137	0.4504500769
138	0.4499262021
139	0.4494108343
140	0.4490174715
141	0.4483422285
142	0.4478396297
143	0.4473747542
144	0.4468641162
145	0.446540827
146	0.4461535298
147	0.4454248797
148	0.4447014761
149	0.4444197132
150	0.443892458
151	0.4435139242
152	0.4429130756
153	0.4421758508
154	0.441862203
155	0.4409058088
